"x","y"
3746117.58622119,841105.591663932
3826897.85158284,840473.080697769
3903903.31833442,842392.042693724
3700710.90971175,840331.92779336
3779802.14083548,841055.386105924
3837714.91934005,839846.802471775
3847636.56198902,838220.532891215
3913120.8038784,839375.622260169
3692373.18384766,836781.017902027
3806261.16483108,836820.672474983
3812016.14733641,836766.727688955
3816279.34292259,837006.675324016
3847500.01334617,836502.705512606
3918315.35775121,835524.252889704
3950963.40122994,835329.531766093
3679750.50716721,835643.425591522
3698374.20407765,834195.747032725
3813802.97758316,834839.253406076
3902245.8803486,835371.444847678
3783239.8150678,833403.438983368
3829694.07020718,833870.904134465
3905586.83600314,832977.120174826
3935648.4785466,834490.71020791
3687891.11752524,831844.536826234
3801966.22462031,831959.084784089
3916559.92942205,830870.283651843
3841478.97396331,830875.545291141
3930836.06106491,829957.737196248
3784762.21741861,829285.82517232
3821765.95503244,828514.503239346
3883562.6381362,829321.595890271
3855700.05115783,828090.428259066
3901767.2005665,828270.05226181
3819481.42406311,826727.231463523
3841447.81056204,827255.089631924
3675125.66287533,825921.609882969
3785281.8944337,826062.98716439
3852538.55467086,826389.149082435
3641409.54325047,824350.43984138
3838168.91471946,824138.825435671
3872687.79215177,824983.676008657
3891611.65091828,823309.619035537
3939747.9973446,824046.180601445
3671799.55306593,823487.058534921
3717481.95580823,823148.863648264
3804580.08581198,823576.397266646
3839228.08496587,823196.661925035
3843482.06151811,822688.344749515
3855767.59645452,823262.503273939
3812945.55938409,822375.828853899
3846083.10662955,822287.051950782
3890512.61820239,821116.359287272
3911352.92668241,822541.828009908
3657300.25931438,820294.801063096
3660485.37618766,819686.813962231
3645251.63061031,819646.524774355
3695637.92047513,819281.346878925
3822040.24387956,819871.980189203
3663260.44384361,816568.648093318
3834332.40559643,815309.522485238
3624762.66063867,814616.155855257
3859253.02961633,814890.334470527
3891534.73412945,814964.157543184
3660120.30323827,812919.287767963
3661632.52217324,814222.876559763
3675253.24950672,813992.605244088
3759972.26705052,813301.668111927
3844775.03824057,812932.641241265
3624564.51738398,812089.888944007
3873616.3909096,812391.329624039
3647927.49093942,811798.913357102
3784846.6481032,809961.362021202
3861482.16795198,811474.74245102
3797260.61705128,809530.723431152
3865634.73090317,810718.147075837
3922860.18706715,810460.227636624
3626140.625977,809029.980307396
3923444.34982463,809736.446609974
3659928.09425389,808195.458033907
3662002.83255721,807874.694549905
3943121.35922051,808445.548745229
3645816.0814101,807694.66909871
3806713.38795672,807786.220363954
3627546.37002914,806769.314985247
3736663.00465861,806060.842238918
3772214.9415385,805938.2931788
3896021.01199946,806784.632714835
3903091.84330053,806993.026933739
3908325.43652903,806343.787938973
3816885.34097917,805692.378550945
3889129.44708429,805611.160820002
3806317.56841526,805143.929190046
3825683.15790559,804497.582698346
3880091.23263737,803221.727939259
3944111.97438329,804065.22718116
3728548.36522966,802175.490488569
3794118.98897944,802425.10999545
3798876.58635213,801826.002298741
3862487.29446076,801658.394176695
3873124.0074251,802140.489668237
3885051.05760248,801625.238575003
3935872.80608091,801174.540419719
3654296.64492734,800830.799017025
3845937.21702408,799780.952081967
3840644.09739755,799283.523762288
3895593.85893226,799322.426454785
3936202.75877479,799793.001872925
3827674.17132569,799660.520413213
3829423.01690115,799080.750593664
3630319.07192516,797425.86850684
3927899.24089892,796432.771720533
3938425.91980776,796352.737086488
3871587.24300697,794708.425320358
3635129.49614955,795314.042040886
3800077.38188621,793459.442476557
3808348.37547969,793528.691592724
3904034.5984866,794906.985496721
3836505.44168693,793361.519162461
3847388.44220023,793992.29367421
3867243.35759144,793336.782782022
3859832.76394025,792560.860821064
3763319.47661667,791286.757397754
3773733.99537405,790100.110184137
3710357.26679521,789904.140244019
3845679.46356786,790241.868322446
3862894.17284804,790091.994151209
3888414.19637846,789622.455529711
3899724.62152865,789440.777629515
3900229.16705006,789441.942292626
3913862.75186587,788374.115831098
3912324.93595886,788493.651249497
3908113.37416734,786619.771312796
3837532.70504886,785910.89965626
3918389.07382413,784816.435941449
3837760.81580178,784544.748415749
3842326.62480394,783980.376471436
3846107.79881406,784641.273129597
3795889.41681033,782756.944857074
3861295.83317254,782391.89054417
3912076.4253524,782726.207153033
3885760.95116694,782002.131782815
3891619.04426116,781431.907828994
3904113.05237671,781659.289551016
3842456.06475318,781352.331501368
3747193.94028155,779457.397173788
3838662.5398874,778642.346410548
3840208.6596924,777452.4500866
3879420.99238746,778627.669811648
3747800.72818233,777016.967876359
3844899.35654316,775512.219364361
3651858.51788793,773813.651000123
3863487.01690238,774519.564816893
3893108.76381516,773257.525394524
3758476.64551939,772098.59229335
3814477.50018306,771541.200662022
3828105.529318,771198.942413806
3785123.64889153,771055.710755318
3886628.18654118,771656.844489065
3852956.43082275,771053.269135654
3702670.9619669,768922.611807814
3850457.41629894,769205.616977721
3744146.26817215,768415.372177373
3638990.34592982,766867.667924629
3897885.54625725,766695.08750394
3820337.09617788,766273.188584406
3826540.18944355,765752.259669617
3834651.76075193,765476.464289937
3660084.01697102,764821.677778556
